sample_id,asset_path,sha256,source_kind,device,lens,image_format,data_space,cfa_pattern,width,height,iso,exposure_time_s,focal_length_mm,capture_mode,scene_tags,lighting,roi_set,computation_status,split,status
T01_a0006-IMG_2787,stage1_soft_isp/data/raw/T01_a0006-IMG_2787.dng,33d09d58db182cb1124397c9634e08d6a294018a4d0597d8b8304a8db6abc3e9,public_dataset,unknown,unknown,DNG,bayer_raw,RGGB,4290,2856,,,,unknown,unlabeled_public_reference,unknown,stage1_auto_proxy_v1,unknown,evaluation,available
T02_a0008-WP_CRW_3959,stage1_soft_isp/data/raw/T02_a0008-WP_CRW_3959.dng,72222a4a8b37e24d16570fe750cc55ff4a00a00a02598646106154812514db19,public_dataset,unknown,unknown,DNG,bayer_raw,RGGB,3088,2055,,,,unknown,unlabeled_public_reference,unknown,stage1_auto_proxy_v1,unknown,evaluation,available
T03_a0010-jmac_MG_4807,stage1_soft_isp/data/raw/T03_a0010-jmac_MG_4807.dng,12a5641ba0afe2305077cb30d25858adc4e399844966f0447774b2b0b8d83a3d,public_dataset,unknown,unknown,DNG,bayer_raw,RGGB,3522,2348,,,,unknown,unlabeled_public_reference,unknown,stage1_auto_proxy_v1,unknown,evaluation,available
T04_a0012-kme_143,stage1_soft_isp/data/raw/T04_a0012-kme_143.dng,329a5bc32d2567a7c38792b21a09a755409b4bfaf0eceadeb040a31c56aec87f,public_dataset,unknown,unknown,DNG,bayer_raw,RGGB,3522,2348,,,,unknown,unlabeled_public_reference,unknown,stage1_auto_proxy_v1,unknown,evaluation,available
T05_a0014-WP_CRW_6320,stage1_soft_isp/data/raw/T05_a0014-WP_CRW_6320.dng,c2772e294b83c7b9e912f1a1072959cdeb492595498e5d0601426555a54ff60c,public_dataset,unknown,unknown,DNG,bayer_raw,RGGB,3088,2055,,,,unknown,unlabeled_public_reference,unknown,stage1_auto_proxy_v1,unknown,evaluation,available
T06_a0018-kme_234,stage1_soft_isp/data/raw/T06_a0018-kme_234.dng,e7456a4b90a9f79a6cb9b3293cbf5e5d8e5b3da37227a340f68f453e0798e7a2,public_dataset,unknown,unknown,DNG,bayer_raw,RGGB,3522,2348,,,,unknown,unlabeled_public_reference,unknown,stage1_auto_proxy_v1,unknown,evaluation,available
T07_a0020-jmac_MG_6225,stage1_soft_isp/data/raw/T07_a0020-jmac_MG_6225.dng,0f0c2a29777b2f759ba416d7839c5b0397fe6a970cbc2ef99b007054b4894920,public_dataset,unknown,unknown,DNG,bayer_raw,RGGB,4386,2920,,,,unknown,unlabeled_public_reference,unknown,stage1_auto_proxy_v1,unknown,evaluation,available
T08_a0022-IMG_2380,stage1_soft_isp/data/raw/T08_a0022-IMG_2380.dng,07c9b1eadc7bd0c3b1345ff32814c10bcc2bb6b9dd5c9c7b047c1f72dc8ee9b6,public_dataset,unknown,unknown,DNG,bayer_raw,RGGB,4290,2856,,,,unknown,unlabeled_public_reference,unknown,stage1_auto_proxy_v1,unknown,evaluation,available
T09_a0023-07-06-02-at-15h06m48-s_MG_1489,stage1_soft_isp/data/raw/T09_a0023-07-06-02-at-15h06m48-s_MG_1489.dng,8c733507d0ec0ff0b1b1d6e690f8e2a983c2dacc0d3764c5b472a65482353a83,public_dataset,unknown,unknown,DNG,bayer_raw,RGGB,4386,2920,,,,unknown,unlabeled_public_reference,unknown,stage1_auto_proxy_v1,unknown,evaluation,available
T10_a0026-kme_391,stage1_soft_isp/data/raw/T10_a0026-kme_391.dng,8f74bf84ea871188ca8630070258664d1ba0ef1120078eaef791dccd8aef0954,public_dataset,unknown,unknown,DNG,bayer_raw,RGGB,3522,2348,,,,unknown,unlabeled_public_reference,unknown,stage1_auto_proxy_v1,unknown,evaluation,available
T11_a0033-KE_-2590,stage1_soft_isp/data/raw/T11_a0033-KE_-2590.dng,453858a5bf87525ef7c58be967180de60b0db6f4575c8b3fd0d9fb27a2a23cf5,public_dataset,unknown,unknown,DNG,bayer_raw,BGGR,3040,2014,,,,unknown,unlabeled_public_reference,unknown,stage1_auto_proxy_v1,unknown,evaluation,available
T12_a0034-LSYD4O2202,stage1_soft_isp/data/raw/T12_a0034-LSYD4O2202.dng,b941d5adf1711d485d2464f7faba18bae222fe0f06381c61581b14a07832cbaf,public_dataset,unknown,unknown,DNG,bayer_raw,GBRG,5010,3335,,,,unknown,unlabeled_public_reference,unknown,stage1_auto_proxy_v1,unknown,evaluation,available
T13_a0035-dgw_048,stage1_soft_isp/data/raw/T13_a0035-dgw_048.dng,9927bae775ab9f1d765e35b3fb5bfc360ed5af2da36f32b20a0e82c43bc2d9b9,public_dataset,unknown,unknown,DNG,bayer_raw,RGGB,4284,2844,,,,unknown,unlabeled_public_reference,unknown,stage1_auto_proxy_v1,unknown,evaluation,available
T14_a0040-_DSC5693,stage1_soft_isp/data/raw/T14_a0040-_DSC5693.dng,b6aff26ec59a642388839de72a4551719499a370b76d1ae8e889df5380569732,public_dataset,unknown,unknown,DNG,bayer_raw,RGGB,4284,2844,,,,unknown,unlabeled_public_reference,unknown,stage1_auto_proxy_v1,unknown,evaluation,available
