curve,input_bits,output_bits,max_abs_error,mean_abs_error,rmse,psnr,failed_values,total_values
reinhard,8,12,0.015388315543532372,0.0008758476309367325,0.0018501252803964543,54.655977250937525,2304,4096
reinhard,10,12,0.0038919972721487284,0.0002354270176283535,0.0004766876956691475,66.43532115998897,850,4096
reinhard,12,12,0.0001221299171447754,6.092903066701183e-05,7.0304949932762e-05,83.0602819340829,0,4096
reinhard,14,12,0.0001665949821472168,6.222846212722288e-05,7.252659819707083e-05,82.79005384601886,0,4096
filmic,8,12,0.005989269819110632,0.000901773295410635,0.0013109024591626576,57.64859243657789,3209,4096
filmic,10,12,0.0015893764793872833,0.00023274730851596814,0.00033510084671749713,69.49648949615806,1271,4096
filmic,12,12,0.00012201070785522461,6.130491607336808e-05,7.060509565662755e-05,83.02327908499932,0,4096
filmic,14,12,0.00016921758651733398,6.284088345864802e-05,7.321313489322648e-05,82.70821993623257,0,4096
scurve,8,12,0.0321195125579834,0.0009802383143878055,0.0038390317423011547,48.31556593973451,502,4096
scurve,10,12,0.0074104368686676025,0.00024433300570052643,0.0009601372982467423,60.353333180721506,457,4096
scurve,12,12,0.00012175925076007843,7.412936082574533e-06,2.434001422818923e-05,92.27358344469734,0,4096
scurve,14,12,0.0003196597099304199,1.3497299204346718e-05,4.692217566946072e-05,86.57243717779046,36,4096
