case_id,problem,hypothesis,module,parameter,value,psnr,ssim,mean_delta_e_2000_proxy,texture_retention,highlight_clip_fraction,score,selected,failure_reason,tradeoff,boundary
awb_filter,Injected warm cast,Dark/highlight rejection stabilizes Gray-World gains,AWB,low_high_percentile,0/100,27.996946071480973,0.9883415102958679,6.114734172821045,1.0071048533476976,0.13229013780169602,0.9761120419502258,true,,Best composite SSIM/color score; inspect texture and clipping before product use.,Controlled perturbation of public-DNG sRGB rendering; not self-captured lab tuning.
awb_filter,Injected warm cast,Dark/highlight rejection stabilizes Gray-World gains,AWB,low_high_percentile,2/98,27.75479196609102,0.98785400390625,6.279077529907227,1.0070299249607602,0.13229013780169602,0.9752958488464355,false,lower_reference_similarity,Rejected by the declared composite score or a stronger visible artifact proxy.,Controlled perturbation of public-DNG sRGB rendering; not self-captured lab tuning.
awb_filter,Injected warm cast,Dark/highlight rejection stabilizes Gray-World gains,AWB,low_high_percentile,5/95,27.429448557629826,0.9871252179145813,6.517351150512695,1.0072833471352107,0.13916748206131768,0.9740905156135559,false,lower_reference_similarity,Rejected by the declared composite score or a stronger visible artifact proxy.,Controlled perturbation of public-DNG sRGB rendering; not self-captured lab tuning.
awb_filter,Injected warm cast,Dark/highlight rejection stabilizes Gray-World gains,AWB,low_high_percentile,10/90,26.914345305699836,0.9858221411705017,6.923563003540039,1.008149745099786,0.14567789872798434,0.9719750151634217,false,lower_reference_similarity,Rejected by the declared composite score or a stronger visible artifact proxy.,Controlled perturbation of public-DNG sRGB rendering; not self-captured lab tuning.
bilateral_sigma,Injected Gaussian RGB noise,Moderate range sigma removes noise without excessive texture loss,traditional_denoise,sigma_range,0.020,29.2097726776907,0.6839703917503357,6.8653411865234375,2.4838914232246796,0.020066352739726026,0.6702397093772888,false,lower_reference_similarity,Rejected by the declared composite score or a stronger visible artifact proxy.,Controlled perturbation of public-DNG sRGB rendering; not self-captured lab tuning.
bilateral_sigma,Injected Gaussian RGB noise,Moderate range sigma removes noise without excessive texture loss,traditional_denoise,sigma_range,0.040,29.997296984353675,0.7208088040351868,6.1305251121521,2.2287479487071056,0.011843607305936072,0.7085477538108825,false,lower_reference_similarity,Rejected by the declared composite score or a stronger visible artifact proxy.,Controlled perturbation of public-DNG sRGB rendering; not self-captured lab tuning.
bilateral_sigma,Injected Gaussian RGB noise,Moderate range sigma removes noise without excessive texture loss,traditional_denoise,sigma_range,0.070,32.49954305813005,0.8237452507019043,4.4155755043029785,1.6361977395029434,0.00339153212654925,0.8149140996932983,false,lower_reference_similarity,Rejected by the declared composite score or a stronger visible artifact proxy.,Controlled perturbation of public-DNG sRGB rendering; not self-captured lab tuning.
bilateral_sigma,Injected Gaussian RGB noise,Moderate range sigma removes noise without excessive texture loss,traditional_denoise,sigma_range,0.100,34.50103993322155,0.8875519633293152,3.3892245292663574,1.2572008232679535,0.0015492498369210697,0.8807735142707824,true,,Best composite SSIM/color score; inspect texture and clipping before product use.,Controlled perturbation of public-DNG sRGB rendering; not self-captured lab tuning.
tone_highlight,Injected 1.6x linear exposure,A lower white percentile plus Reinhard reduces highlight clipping,tone_mapping,method_percentile,percentile/99,18.19521075472907,0.9449270367622375,10.164416313171387,1.1115814036365517,0.19789118558382257,0.9245982041358948,true,,Best composite SSIM/color score; inspect texture and clipping before product use.,Controlled perturbation of public-DNG sRGB rendering; not self-captured lab tuning.
tone_highlight,Injected 1.6x linear exposure,A lower white percentile plus Reinhard reduces highlight clipping,tone_mapping,method_percentile,percentile/99.9,18.19521075472907,0.9449270367622375,10.164416313171387,1.1115814036365517,0.19789118558382257,0.9245982041358948,false,lower_reference_similarity,Rejected by the declared composite score or a stronger visible artifact proxy.,Controlled perturbation of public-DNG sRGB rendering; not self-captured lab tuning.
tone_highlight,Injected 1.6x linear exposure,A lower white percentile plus Reinhard reduces highlight clipping,tone_mapping,method_percentile,reinhard/99,22.488600574586947,0.9290902018547058,5.315407752990723,0.700545365751117,0.0,0.9184593863487244,false,over_smoothing,Rejected by the declared composite score or a stronger visible artifact proxy.,Controlled perturbation of public-DNG sRGB rendering; not self-captured lab tuning.
tone_highlight,Injected 1.6x linear exposure,A lower white percentile plus Reinhard reduces highlight clipping,tone_mapping,method_percentile,reinhard/99.9,22.488600574586947,0.9290902018547058,5.315407752990723,0.700545365751117,0.0,0.9184593863487244,false,over_smoothing,Rejected by the declared composite score or a stronger visible artifact proxy.,Controlled perturbation of public-DNG sRGB rendering; not self-captured lab tuning.
