sample,mad_k,min_delta,injected_total,detected_total,true_positive,injected_recall,false_negative,extra_detection,extra_detection_fraction,mean_residual_after_repair_on_injected
T01_a0006-IMG_2787,6.0,256,64,9701,64,1.0,0,9637,0.009190559387207031,62.828125
T01_a0006-IMG_2787,12.0,256,64,7702,64,1.0,0,7638,0.0072841644287109375,62.828125
T01_a0006-IMG_2787,16.0,256,64,4245,64,1.0,0,4181,0.003987312316894531,62.828125
T01_a0006-IMG_2787,6.0,512,64,1644,64,1.0,0,1580,0.001506805419921875,62.828125
T01_a0006-IMG_2787,12.0,512,64,1644,64,1.0,0,1580,0.001506805419921875,62.828125
T01_a0006-IMG_2787,16.0,512,64,1644,64,1.0,0,1580,0.001506805419921875,62.828125
T01_a0006-IMG_2787,6.0,1024,64,169,64,1.0,0,105,0.00010013580322265625,62.828125
T01_a0006-IMG_2787,12.0,1024,64,169,64,1.0,0,105,0.00010013580322265625,62.828125
T01_a0006-IMG_2787,16.0,1024,64,169,64,1.0,0,105,0.00010013580322265625,62.828125
T01_a0006-IMG_2787,6.0,2048,64,68,64,1.0,0,4,3.814697265625e-06,62.828125
T01_a0006-IMG_2787,12.0,2048,64,68,64,1.0,0,4,3.814697265625e-06,62.828125
T01_a0006-IMG_2787,16.0,2048,64,68,64,1.0,0,4,3.814697265625e-06,62.828125
T02_a0008-WP_CRW_3959,6.0,256,64,65,64,1.0,0,1,9.5367431640625e-07,9.875
T02_a0008-WP_CRW_3959,12.0,256,64,65,64,1.0,0,1,9.5367431640625e-07,9.875
T02_a0008-WP_CRW_3959,16.0,256,64,65,64,1.0,0,1,9.5367431640625e-07,9.875
T02_a0008-WP_CRW_3959,6.0,512,64,64,64,1.0,0,0,0.0,9.875
T02_a0008-WP_CRW_3959,12.0,512,64,64,64,1.0,0,0,0.0,9.875
T02_a0008-WP_CRW_3959,16.0,512,64,64,64,1.0,0,0,0.0,9.875
T02_a0008-WP_CRW_3959,6.0,1024,64,64,64,1.0,0,0,0.0,9.875
T02_a0008-WP_CRW_3959,12.0,1024,64,64,64,1.0,0,0,0.0,9.875
T02_a0008-WP_CRW_3959,16.0,1024,64,64,64,1.0,0,0,0.0,9.875
T02_a0008-WP_CRW_3959,6.0,2048,64,64,64,1.0,0,0,0.0,9.875
T02_a0008-WP_CRW_3959,12.0,2048,64,64,64,1.0,0,0,0.0,9.875
T02_a0008-WP_CRW_3959,16.0,2048,64,64,64,1.0,0,0,0.0,9.875
T03_a0010-jmac_MG_4807,6.0,256,64,64,64,1.0,0,0,0.0,6.921875
T03_a0010-jmac_MG_4807,12.0,256,64,64,64,1.0,0,0,0.0,6.921875
T03_a0010-jmac_MG_4807,16.0,256,64,64,64,1.0,0,0,0.0,6.921875
T03_a0010-jmac_MG_4807,6.0,512,64,64,64,1.0,0,0,0.0,6.921875
T03_a0010-jmac_MG_4807,12.0,512,64,64,64,1.0,0,0,0.0,6.921875
T03_a0010-jmac_MG_4807,16.0,512,64,64,64,1.0,0,0,0.0,6.921875
T03_a0010-jmac_MG_4807,6.0,1024,64,64,64,1.0,0,0,0.0,6.921875
T03_a0010-jmac_MG_4807,12.0,1024,64,64,64,1.0,0,0,0.0,6.921875
T03_a0010-jmac_MG_4807,16.0,1024,64,64,64,1.0,0,0,0.0,6.921875
T03_a0010-jmac_MG_4807,6.0,2048,64,64,64,1.0,0,0,0.0,6.921875
T03_a0010-jmac_MG_4807,12.0,2048,64,64,64,1.0,0,0,0.0,6.921875
T03_a0010-jmac_MG_4807,16.0,2048,64,64,64,1.0,0,0,0.0,6.921875
T04_a0012-kme_143,6.0,256,64,1792,64,1.0,0,1728,0.00164794921875,20.1875
T04_a0012-kme_143,12.0,256,64,1792,64,1.0,0,1728,0.00164794921875,20.1875
T04_a0012-kme_143,16.0,256,64,1792,64,1.0,0,1728,0.00164794921875,20.1875
T04_a0012-kme_143,6.0,512,64,307,64,1.0,0,243,0.00023174285888671875,20.1875
T04_a0012-kme_143,12.0,512,64,307,64,1.0,0,243,0.00023174285888671875,20.1875
T04_a0012-kme_143,16.0,512,64,307,64,1.0,0,243,0.00023174285888671875,20.1875
T04_a0012-kme_143,6.0,1024,64,116,64,1.0,0,52,4.9591064453125e-05,20.1875
T04_a0012-kme_143,12.0,1024,64,116,64,1.0,0,52,4.9591064453125e-05,20.1875
T04_a0012-kme_143,16.0,1024,64,116,64,1.0,0,52,4.9591064453125e-05,20.1875
T04_a0012-kme_143,6.0,2048,64,69,64,1.0,0,5,4.76837158203125e-06,20.1875
T04_a0012-kme_143,12.0,2048,64,69,64,1.0,0,5,4.76837158203125e-06,20.1875
T04_a0012-kme_143,16.0,2048,64,69,64,1.0,0,5,4.76837158203125e-06,20.1875
T05_a0014-WP_CRW_6320,6.0,256,64,1899,64,1.0,0,1835,0.0017499923706054688,27.578125
T05_a0014-WP_CRW_6320,12.0,256,64,1899,64,1.0,0,1835,0.0017499923706054688,27.578125
T05_a0014-WP_CRW_6320,16.0,256,64,1899,64,1.0,0,1835,0.0017499923706054688,27.578125
T05_a0014-WP_CRW_6320,6.0,512,64,167,64,1.0,0,103,9.822845458984375e-05,27.578125
T05_a0014-WP_CRW_6320,12.0,512,64,167,64,1.0,0,103,9.822845458984375e-05,27.578125
T05_a0014-WP_CRW_6320,16.0,512,64,167,64,1.0,0,103,9.822845458984375e-05,27.578125
T05_a0014-WP_CRW_6320,6.0,1024,64,65,63,0.984375,1,2,1.9073486328125e-06,40.21875
T05_a0014-WP_CRW_6320,12.0,1024,64,65,63,0.984375,1,2,1.9073486328125e-06,40.21875
T05_a0014-WP_CRW_6320,16.0,1024,64,65,63,0.984375,1,2,1.9073486328125e-06,40.21875
T05_a0014-WP_CRW_6320,6.0,2048,64,61,61,0.953125,3,0,0.0,100.6875
T05_a0014-WP_CRW_6320,12.0,2048,64,61,61,0.953125,3,0,0.0,100.6875
T05_a0014-WP_CRW_6320,16.0,2048,64,61,61,0.953125,3,0,0.0,100.6875
T06_a0018-kme_234,6.0,256,64,159,64,1.0,0,95,9.059906005859375e-05,20.671875
T06_a0018-kme_234,12.0,256,64,159,64,1.0,0,95,9.059906005859375e-05,20.671875
T06_a0018-kme_234,16.0,256,64,159,64,1.0,0,95,9.059906005859375e-05,20.671875
T06_a0018-kme_234,6.0,512,64,64,64,1.0,0,0,0.0,20.671875
T06_a0018-kme_234,12.0,512,64,64,64,1.0,0,0,0.0,20.671875
T06_a0018-kme_234,16.0,512,64,64,64,1.0,0,0,0.0,20.671875
T06_a0018-kme_234,6.0,1024,64,64,64,1.0,0,0,0.0,20.671875
T06_a0018-kme_234,12.0,1024,64,64,64,1.0,0,0,0.0,20.671875
T06_a0018-kme_234,16.0,1024,64,64,64,1.0,0,0,0.0,20.671875
T06_a0018-kme_234,6.0,2048,64,64,64,1.0,0,0,0.0,20.671875
T06_a0018-kme_234,12.0,2048,64,64,64,1.0,0,0,0.0,20.671875
T06_a0018-kme_234,16.0,2048,64,64,64,1.0,0,0,0.0,20.671875
T07_a0020-jmac_MG_6225,6.0,256,64,6331,64,1.0,0,6267,0.005976676940917969,35.4375
T07_a0020-jmac_MG_6225,12.0,256,64,6331,64,1.0,0,6267,0.005976676940917969,35.4375
T07_a0020-jmac_MG_6225,16.0,256,64,4026,64,1.0,0,3962,0.0037784576416015625,35.4375
T07_a0020-jmac_MG_6225,6.0,512,64,685,64,1.0,0,621,0.0005922317504882812,35.4375
T07_a0020-jmac_MG_6225,12.0,512,64,685,64,1.0,0,621,0.0005922317504882812,35.4375
T07_a0020-jmac_MG_6225,16.0,512,64,685,64,1.0,0,621,0.0005922317504882812,35.4375
T07_a0020-jmac_MG_6225,6.0,1024,64,100,64,1.0,0,36,3.4332275390625e-05,35.4375
T07_a0020-jmac_MG_6225,12.0,1024,64,100,64,1.0,0,36,3.4332275390625e-05,35.4375
T07_a0020-jmac_MG_6225,16.0,1024,64,100,64,1.0,0,36,3.4332275390625e-05,35.4375
T07_a0020-jmac_MG_6225,6.0,2048,64,65,64,1.0,0,1,9.5367431640625e-07,35.4375
T07_a0020-jmac_MG_6225,12.0,2048,64,65,64,1.0,0,1,9.5367431640625e-07,35.4375
T07_a0020-jmac_MG_6225,16.0,2048,64,65,64,1.0,0,1,9.5367431640625e-07,35.4375
T08_a0022-IMG_2380,6.0,256,64,40987,64,1.0,0,40923,0.03902721405029297,125.625
T08_a0022-IMG_2380,12.0,256,64,20981,64,1.0,0,20917,0.01994800567626953,125.625
T08_a0022-IMG_2380,16.0,256,64,15552,64,1.0,0,15488,0.0147705078125,125.625
T08_a0022-IMG_2380,6.0,512,64,24349,64,1.0,0,24285,0.02315998077392578,125.625
T08_a0022-IMG_2380,12.0,512,64,18909,64,1.0,0,18845,0.01797199249267578,125.625
T08_a0022-IMG_2380,16.0,512,64,15089,64,1.0,0,15025,0.014328956604003906,125.625
T08_a0022-IMG_2380,6.0,1024,64,10973,64,1.0,0,10909,0.010403633117675781,125.625
T08_a0022-IMG_2380,12.0,1024,64,10973,64,1.0,0,10909,0.010403633117675781,125.625
T08_a0022-IMG_2380,16.0,1024,64,10973,64,1.0,0,10909,0.010403633117675781,125.625
T08_a0022-IMG_2380,6.0,2048,64,4829,64,1.0,0,4765,0.004544258117675781,125.625
T08_a0022-IMG_2380,12.0,2048,64,4829,64,1.0,0,4765,0.004544258117675781,125.625
T08_a0022-IMG_2380,16.0,2048,64,4829,64,1.0,0,4765,0.004544258117675781,125.625
T09_a0023-07-06-02-at-15h06m48-s_MG_1489,6.0,256,64,104,64,1.0,0,40,3.814697265625e-05,9.328125
T09_a0023-07-06-02-at-15h06m48-s_MG_1489,12.0,256,64,104,64,1.0,0,40,3.814697265625e-05,9.328125
T09_a0023-07-06-02-at-15h06m48-s_MG_1489,16.0,256,64,104,64,1.0,0,40,3.814697265625e-05,9.328125
T09_a0023-07-06-02-at-15h06m48-s_MG_1489,6.0,512,64,77,64,1.0,0,13,1.239776611328125e-05,9.328125
T09_a0023-07-06-02-at-15h06m48-s_MG_1489,12.0,512,64,77,64,1.0,0,13,1.239776611328125e-05,9.328125
T09_a0023-07-06-02-at-15h06m48-s_MG_1489,16.0,512,64,77,64,1.0,0,13,1.239776611328125e-05,9.328125
T09_a0023-07-06-02-at-15h06m48-s_MG_1489,6.0,1024,64,64,64,1.0,0,0,0.0,9.328125
