sample,bayer_pattern,black_level,white_level,near_black_fraction,near_white_fraction,dark_snr_db_proxy,midtone_snr_db_proxy,highlight_snr_db_proxy,approx_dynamic_range_db,mtf50_proxy_cyc_per_px,edge_contrast,edge_direction
T01_a0006-IMG_2787,RGGB,1023.0,16000,0.0,0.0005333718569012686,6.209293099007476,7.535022596178742,9.61710643884823,33.36546080645223,0.00784313725490196,1848.6640625,horizontal_edge
T02_a0008-WP_CRW_3959,RGGB,127.0,4000,0.007793924838949611,0.0,8.967218323885737,11.589764495266447,11.98928153352597,49.32117667723532,0.00784313725490196,80.65625,horizontal_edge
T03_a0010-jmac_MG_4807,RGGB,127.0,4095,0.0832784338308631,0.00022370942636549816,-11.13250554465796,5.972169574366763,6.923648459531141,43.0802477012228,0.00784313725490196,1528.33984375,horizontal_edge
T04_a0012-kme_143,RGGB,127.0,4095,0.05537388737814487,9.782752752956109e-05,2.2000097883882312,-0.4152233243855727,9.5524058345794,48.63979080483343,0.00784313725490196,582.92578125,horizontal_edge
T05_a0014-WP_CRW_6320,RGGB,126.0,4000,0.00032982237182153977,0.0,2.3601458055270035,8.211424869993873,0.6311834518475277,33.994106081354914,0.00784313725490196,1991.90234375,vertical_edge
T06_a0018-kme_234,RGGB,127.0,4095,0.00020242679985721292,0.0,8.182485123629629,6.96297737041495,10.60143633062522,45.13883369024754,0.00784313725490196,224.11328125,vertical_edge
T07_a0020-jmac_MG_6225,RGGB,128.0,3692,0.0242910974520423,0.015263072415968618,0.10594574972940576,3.2042740002205363,14.21861414642131,40.76856313045297,0.00392156862745098,643.55078125,vertical_edge
T08_a0022-IMG_2380,RGGB,1024.0,16000,0.00012487512487512488,0.00012283468165821107,-10.11405138981527,6.220537315554412,8.535901524930097,22.73683763881635,0.00784313725490196,350.58203125,vertical_edge
T09_a0023-07-06-02-at-15h06m48-s_MG_1489,RGGB,127.0,3692,0.0307344664530355,1.1868398203499304e-05,4.080149895341422,2.183026531453885,9.18667419371037,48.437013611530915,0.00784313725490196,378.59375,vertical_edge
T10_a0026-kme_391,RGGB,127.0,4095,0.04389432885721002,0.0018386496366958917,5.87197083777729,4.293408677743368,5.5829917113245555,40.8615160967041,0.00784313725490196,1204.83984375,horizontal_edge
T11_a0033-KE_-2590,BGGR,0.0,4095,0.043799325772226,0.0005775361940103486,-2.645588854575429,1.079943938309002,3.408509868917573,35.49324443786057,0.00392156862745098,2975.88671875,vertical_edge
T12_a0034-LSYD4O2202,GBRG,128.0,3711,0.1219111402382641,1.6398986135674676e-05,1.8241201157606592,-2.143509056735312,4.022989314707412,49.31360651056684,0.00784313725490196,575.80859375,horizontal_edge
T13_a0035-dgw_048,RGGB,0.0,15892,0.0,0.09507829151351117,1.4436044868434361,-2.6981968568641452,39.43786160872144,37.3585035702818,0.00784313725490196,13152.359375,vertical_edge
T14_a0040-_DSC5693,RGGB,0.0,15892,0.0,0.010386421328962902,6.151874603106503,10.0811147220665,2.800031701135797,43.833709274889834,0.00784313725490196,13666.51953125,vertical_edge
