scene_group,method,failure_type,count
sidd_device_G4,dncnn_ort_fp32,excess_high_frequency,2
sidd_device_G4,no_denoise,excess_high_frequency,2
sidd_device_G4,stage1_bilateral,acceptable,1
sidd_device_G4,stage1_bilateral,excess_high_frequency,1
sidd_device_IP,dncnn_ort_fp32,acceptable,2
sidd_device_IP,no_denoise,excess_high_frequency,2
sidd_device_IP,stage1_bilateral,excess_high_frequency,2
sidd_device_N6,dncnn_ort_fp32,acceptable,2
sidd_device_N6,dncnn_ort_fp32,excess_high_frequency,1
sidd_device_N6,no_denoise,excess_high_frequency,3
sidd_device_N6,stage1_bilateral,acceptable,1
sidd_device_N6,stage1_bilateral,excess_high_frequency,2
sidd_device_S6,dncnn_ort_fp32,acceptable,1
sidd_device_S6,dncnn_ort_fp32,excess_high_frequency,2
sidd_device_S6,no_denoise,excess_high_frequency,3
sidd_device_S6,stage1_bilateral,acceptable,1
sidd_device_S6,stage1_bilateral,excess_high_frequency,2
