sample_id,source_scene,scene_group,source_device,iso,method,input_path,output_path,reference_path,split,precision,latency_ms,latency_scope,model_size_mb,status,boundary,input_psnr,output_psnr,psnr_gain,output_ssim,noise_rmse_reduction,texture_retention,edge_loss,color_bias,failure_type
pair_00011,0116_005_IP_00800_01520_5500_N,sidd_device_IP,IP,800,no_denoise,datasets/sidd_tiny/val/noisy/pair_00011.png,datasets/sidd_tiny/val/noisy/pair_00011.png,datasets/sidd_tiny/val/clean/pair_00011.png,evaluation,uint8_srgb,0,identity baseline; no processing,0,available,Paired public SIDD sRGB baseline; not Sensor RAW.,28.162951581793028,28.162951581793028,0.0,0.45558205246925354,0.0,2.805327241552221,0.0,0.003037567948922515,excess_high_frequency
pair_00011,0116_005_IP_00800_01520_5500_N,sidd_device_IP,IP,800,stage1_bilateral,datasets/sidd_tiny/val/noisy/pair_00011.png,reports/figures/camera_scene_evaluation/traditional_outputs/pair_00011_bilateral.png,datasets/sidd_tiny/val/clean/pair_00011.png,evaluation,float32_cpu,4.069200,single warmed 512x512 call; excludes file I/O,0,available,Stage 1 OpenCV bilateral RGB baseline; sigma_range=0.1.,28.162951581793028,31.56180466130424,3.3988530795112126,0.6498775482177734,0.012652210891246796,1.3007472990832754,0.0,0.002884172834455967,excess_high_frequency
pair_00011,0116_005_IP_00800_01520_5500_N,sidd_device_IP,IP,800,dncnn_ort_fp32,datasets/sidd_tiny/val/noisy/pair_00011.png,../stage4_deploy_isp/outputs/week1_onnx/ort_outputs/pair_00011_ort_output.png,datasets/sidd_tiny/val/clean/pair_00011.png,evaluation,fp32,67.151050,existing ORT CPU aggregate p50; 1x3x512x512; excludes file I/O,0.014556,available,"Tracked ORT output aligned to PyTorch; paired RGB restoration, not Sensor RAW AI-ISP.",28.162951581793028,34.23475433696316,6.071802755170129,0.7782990336418152,0.01965022273361683,0.878387737223591,0.12161226277640902,0.0050699408166110516,acceptable
pair_00012,0117_005_IP_01600_04160_5500_N,sidd_device_IP,IP,1600,no_denoise,datasets/sidd_tiny/val/noisy/pair_00012.png,datasets/sidd_tiny/val/noisy/pair_00012.png,datasets/sidd_tiny/val/clean/pair_00012.png,evaluation,uint8_srgb,0,identity baseline; no processing,0,available,Paired public SIDD sRGB baseline; not Sensor RAW.,27.443569156596542,27.443569156596542,0.0,0.3954739272594452,0.0,4.0415708753679915,0.0,0.0038340480532497168,excess_high_frequency
pair_00012,0117_005_IP_01600_04160_5500_N,sidd_device_IP,IP,1600,stage1_bilateral,datasets/sidd_tiny/val/noisy/pair_00012.png,reports/figures/camera_scene_evaluation/traditional_outputs/pair_00012_bilateral.png,datasets/sidd_tiny/val/clean/pair_00012.png,evaluation,float32_cpu,5.142100,single warmed 512x512 call; excludes file I/O,0,available,Stage 1 OpenCV bilateral RGB baseline; sigma_range=0.1.,27.443569156596542,30.566263459629997,3.1226943030334553,0.5945875644683838,0.012817570939660072,1.8542241298628852,0.0,0.0032600865233689547,excess_high_frequency
pair_00012,0117_005_IP_01600_04160_5500_N,sidd_device_IP,IP,1600,dncnn_ort_fp32,datasets/sidd_tiny/val/noisy/pair_00012.png,../stage4_deploy_isp/outputs/week1_onnx/ort_outputs/pair_00012_ort_output.png,datasets/sidd_tiny/val/clean/pair_00012.png,evaluation,fp32,67.151050,existing ORT CPU aggregate p50; 1x3x512x512; excludes file I/O,0.014556,available,"Tracked ORT output aligned to PyTorch; paired RGB restoration, not Sensor RAW AI-ISP.",27.443569156596542,34.36275227094405,6.919183114347508,0.7543875575065613,0.02330801822245121,1.1939487698404976,0.0,0.003969075623899698,acceptable
pair_00013,0118_006_N6_00100_00025_3200_L,sidd_device_N6,N6,100,no_denoise,datasets/sidd_tiny/val/noisy/pair_00013.png,datasets/sidd_tiny/val/noisy/pair_00013.png,datasets/sidd_tiny/val/clean/pair_00013.png,evaluation,uint8_srgb,0,identity baseline; no processing,0,available,Paired public SIDD sRGB baseline; not Sensor RAW.,31.212983777772386,31.212983777772386,0.0,0.6818305850028992,0.0,2.4921822507112985,0.0,0.0014801895013079047,excess_high_frequency
pair_00013,0118_006_N6_00100_00025_3200_L,sidd_device_N6,N6,100,stage1_bilateral,datasets/sidd_tiny/val/noisy/pair_00013.png,reports/figures/camera_scene_evaluation/traditional_outputs/pair_00013_bilateral.png,datasets/sidd_tiny/val/clean/pair_00013.png,evaluation,float32_cpu,3.679700,single warmed 512x512 call; excludes file I/O,0,available,Stage 1 OpenCV bilateral RGB baseline; sigma_range=0.1.,31.212983777772386,35.86233986883449,4.649356091062103,0.8590903878211975,0.011399028822779655,1.091720225301115,0.0,0.0012326908763498068,acceptable
pair_00013,0118_006_N6_00100_00025_3200_L,sidd_device_N6,N6,100,dncnn_ort_fp32,datasets/sidd_tiny/val/noisy/pair_00013.png,../stage4_deploy_isp/outputs/week1_onnx/ort_outputs/pair_00013_ort_output.png,datasets/sidd_tiny/val/clean/pair_00013.png,evaluation,fp32,67.151050,existing ORT CPU aggregate p50; 1x3x512x512; excludes file I/O,0.014556,available,"Tracked ORT output aligned to PyTorch; paired RGB restoration, not Sensor RAW AI-ISP.",31.212983777772386,37.54672183626719,6.333738058494802,0.9044659733772278,0.014237470924854279,1.0715798697275114,0.0,0.0019396537682041526,acceptable
pair_00014,0120_006_N6_01600_00400_3200_L,sidd_device_N6,N6,1600,no_denoise,datasets/sidd_tiny/val/noisy/pair_00014.png,datasets/sidd_tiny/val/noisy/pair_00014.png,datasets/sidd_tiny/val/clean/pair_00014.png,evaluation,uint8_srgb,0,identity baseline; no processing,0,available,Paired public SIDD sRGB baseline; not Sensor RAW.,20.86248081865607,20.86248081865607,0.0,0.18931424617767334,0.0,4.9547163376253405,0.0,0.010384093038737774,excess_high_frequency
pair_00014,0120_006_N6_01600_00400_3200_L,sidd_device_N6,N6,1600,stage1_bilateral,datasets/sidd_tiny/val/noisy/pair_00014.png,reports/figures/camera_scene_evaluation/traditional_outputs/pair_00014_bilateral.png,datasets/sidd_tiny/val/clean/pair_00014.png,evaluation,float32_cpu,4.283400,single warmed 512x512 call; excludes file I/O,0,available,Stage 1 OpenCV bilateral RGB baseline; sigma_range=0.1.,20.86248081865607,21.77241971382982,0.9099388951737488,0.23556005954742432,0.009005829691886902,3.982819705260298,0.0,0.010457538068294525,excess_high_frequency
