split,name,noisy_path,clean_path,source,note
train,pair_00001.png,C:/Users/10439/Desktop/route/stage2_ai_isp/datasets/sidd_tiny/train/noisy/pair_00001.png,C:/Users/10439/Desktop/route/stage2_ai_isp/datasets/sidd_tiny/train/clean/pair_00001.png,stage2_ai_isp/datasets/sidd_tiny,paired sRGB crop; not RAW
train,pair_00002.png,C:/Users/10439/Desktop/route/stage2_ai_isp/datasets/sidd_tiny/train/noisy/pair_00002.png,C:/Users/10439/Desktop/route/stage2_ai_isp/datasets/sidd_tiny/train/clean/pair_00002.png,stage2_ai_isp/datasets/sidd_tiny,paired sRGB crop; not RAW
train,pair_00003.png,C:/Users/10439/Desktop/route/stage2_ai_isp/datasets/sidd_tiny/train/noisy/pair_00003.png,C:/Users/10439/Desktop/route/stage2_ai_isp/datasets/sidd_tiny/train/clean/pair_00003.png,stage2_ai_isp/datasets/sidd_tiny,paired sRGB crop; not RAW
train,pair_00004.png,C:/Users/10439/Desktop/route/stage2_ai_isp/datasets/sidd_tiny/train/noisy/pair_00004.png,C:/Users/10439/Desktop/route/stage2_ai_isp/datasets/sidd_tiny/train/clean/pair_00004.png,stage2_ai_isp/datasets/sidd_tiny,paired sRGB crop; not RAW
train,pair_00005.png,C:/Users/10439/Desktop/route/stage2_ai_isp/datasets/sidd_tiny/train/noisy/pair_00005.png,C:/Users/10439/Desktop/route/stage2_ai_isp/datasets/sidd_tiny/train/clean/pair_00005.png,stage2_ai_isp/datasets/sidd_tiny,paired sRGB crop; not RAW
train,pair_00006.png,C:/Users/10439/Desktop/route/stage2_ai_isp/datasets/sidd_tiny/train/noisy/pair_00006.png,C:/Users/10439/Desktop/route/stage2_ai_isp/datasets/sidd_tiny/train/clean/pair_00006.png,stage2_ai_isp/datasets/sidd_tiny,paired sRGB crop; not RAW
train,pair_00007.png,C:/Users/10439/Desktop/route/stage2_ai_isp/datasets/sidd_tiny/train/noisy/pair_00007.png,C:/Users/10439/Desktop/route/stage2_ai_isp/datasets/sidd_tiny/train/clean/pair_00007.png,stage2_ai_isp/datasets/sidd_tiny,paired sRGB crop; not RAW
train,pair_00008.png,C:/Users/10439/Desktop/route/stage2_ai_isp/datasets/sidd_tiny/train/noisy/pair_00008.png,C:/Users/10439/Desktop/route/stage2_ai_isp/datasets/sidd_tiny/train/clean/pair_00008.png,stage2_ai_isp/datasets/sidd_tiny,paired sRGB crop; not RAW
train,pair_00009.png,C:/Users/10439/Desktop/route/stage2_ai_isp/datasets/sidd_tiny/train/noisy/pair_00009.png,C:/Users/10439/Desktop/route/stage2_ai_isp/datasets/sidd_tiny/train/clean/pair_00009.png,stage2_ai_isp/datasets/sidd_tiny,paired sRGB crop; not RAW
train,pair_00010.png,C:/Users/10439/Desktop/route/stage2_ai_isp/datasets/sidd_tiny/train/noisy/pair_00010.png,C:/Users/10439/Desktop/route/stage2_ai_isp/datasets/sidd_tiny/train/clean/pair_00010.png,stage2_ai_isp/datasets/sidd_tiny,paired sRGB crop; not RAW
train,pair_00011.png,C:/Users/10439/Desktop/route/stage2_ai_isp/datasets/sidd_tiny/train/noisy/pair_00011.png,C:/Users/10439/Desktop/route/stage2_ai_isp/datasets/sidd_tiny/train/clean/pair_00011.png,stage2_ai_isp/datasets/sidd_tiny,paired sRGB crop; not RAW
