case,height,width,channels,max_abs_error,max_y,max_x,max_c,border_mean_abs_error,interior_mean_abs_error,nonzero_values,concentration
week4_bilateral_lut,64,64,1,3.5762786865234375e-07,35,55,0,3.7275077331633796e-08,4.250261618617174e-08,2888,not_border_concentrated
week4_bilateral_tile,64,64,1,3.5762786865234375e-07,35,55,0,3.7275077331633796e-08,4.250261618617174e-08,2888,not_border_concentrated
week4_bilateral_rows,64,64,1,3.5762786865234375e-07,35,55,0,3.7275077331633796e-08,4.250261618617174e-08,2888,not_border_concentrated
week4_bilateral_tiles,64,64,1,3.5762786865234375e-07,35,55,0,3.7275077331633796e-08,4.250261618617174e-08,2888,not_border_concentrated
week5_reinhard_rgb,192,320,3,5.960464477539063e-08,18,238,0,3.178563905618111e-09,4.1620958266913575e-09,67231,not_border_concentrated
week5_reinhard_luma,192,320,3,1.7881393432617188e-07,56,244,0,5.8071201041742575e-09,6.791772058312334e-09,92160,not_border_concentrated
week5_filmic_luma,192,320,3,1.7881393432617188e-07,37,246,0,1.2436973871100158e-08,1.3139142385885056e-08,163541,not_border_concentrated
week5_scurve_luma,192,320,3,2.980232238769531e-07,18,225,0,5.127702000987673e-09,6.9613745460028496e-09,131164,not_border_concentrated
week6_reinhard_10_10,192,320,3,1.1920928955078125e-07,16,230,0,5.2222900444130395e-09,6.15092758047172e-09,86166,not_border_concentrated
week6_reinhard_12_12,192,320,3,1.1920928955078125e-07,16,230,0,6.015048426228996e-09,6.947745372006173e-09,94528,not_border_concentrated
week6_filmic_lut,192,320,3,8.940696716308594e-08,39,247,0,2.5370289317447864e-09,3.161818520877086e-09,93896,not_border_concentrated
week6_scurve_12_12,192,320,3,2.384185791015625e-07,34,253,1,2.214764345196088e-09,4.142820861221231e-09,96533,not_border_concentrated
week7_local_tone_mapping,128,192,3,1.7881393432617188e-07,23,145,0,7.48469522837901e-09,8.907542531864199e-09,42940,not_border_concentrated
week7_hdr_merge,128,192,3,4.76837158203125e-07,10,139,0,5.403824738252213e-08,7.0948069364707e-08,38075,not_border_concentrated
